tree,height_m,file,bad,knee_thresh
7308,3.4,23713.tif,0,10
7308,4.4,23715.tif,0,10
7308,5.4,23717.tif,0,60
7308,6.4,23719.tif,0,50
7308,7.4,23721.tif,0,50
3615,6.0,23723.tif,0,10
1539,6.0,23725.tif,0,10
1539,5.0,23727.tif,0,40
1539,4.0,23729.tif,0,10
1539,1.4,23731.tif,0,60
7308,9.4,23732.tif,1,10
7308,8.4,23735.tif,0,10
3615,5.0,23802.tif,0,10
3615,4.0,23804.tif,0,10
3615,1.4,23805.tif,0,10
4802,7.4,23807.tif,0,50
4802,6.4,23809.tif,0,40
4802,5.4,23811.tif,0,50
4802,1.4,23814.tif,0,50
3726,1.6,23816.tif,0,50
3726,4.6,23818.tif,0,40
3726,5.6,23820.tif,0,10
3726,6.6,23821.tif,0,20
3726,7.6,23823.tif,0,40
8714,1.4,23825.tif,0,10
8714,2.0,23827.tif,0,10
8714,3.0,23829.tif,0,30
8714,4.0,23831.tif,0,10
12603,1.4,23833.tif,0,10
12603,3.1,23835.tif,0,30
12603,4.1,23837.tif,0,60
12603,5.1,23839.tif,0,60
12603,6.1,23841.tif,0,10
6610,1.4,23843.tif,0,20
6610,3.8,23845.tif,0,10
6610,4.8,23847.tif,0,10
6610,5.8,23849.tif,0,10
prune,1.4,23851.tif,0,10
prune,2.5,23853.tif,0,10
prune,3.5,23855.tif,0,10
prune,4.5,23857.tif,0,60
prune,5.5,23859.tif,0,80
prune,6.5,23861.tif,0,10
prune,7.5,23863.tif,0,70
8627,1.4,23865.tif,0,10
8627,3.4,23867.tif,0,10
8627,4.4,23869.tif,0,10
8627,5.4,23871.tif,0,20
12243,1.4,23873.tif,0,80
12243,2.4,23875.tif,0,10
12243,3.4,23877.tif,0,70
12243,4.4,23879.tif,0,10
11117,1.4,23881.tif,0,10
11117,3.3,23884.tif,0,10
11117,4.3,23885.tif,0,10
11117,5.3,23888.tif,0,10
8430,0.3,23890.tif,0,10
8430,1.4,23892.tif,0,30
8430,2.3,23894.tif,0,30
8249,0.12,23896.tif,0,10
8249,1.12,23898.tif,0,10
8249,1.4,23900.tif,0,10
10820,0.1,23902.tif,0,20
10820,1.4,23903.tif,0,10
10820,2.4,23906.tif,0,10
